"SessionId","Module","InventoryId","Scope","ItemName","ItemType","EstimatedSizeBytes","EstimatedSizeMB","RiskLevel","Assessment","PublicNotes"
"APPDATA-INVENTORY-20260524","appdata","LOCALTOP-0001","LocalAppDataTopLevel","LocalAppData top-level #01","top-level-inventory","3783106246","3607.85","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"APPDATA-INVENTORY-20260524","appdata","LOCALTOP-0002","LocalAppDataTopLevel","LocalAppData top-level #02","top-level-inventory","3759263631","3585.11","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"APPDATA-INVENTORY-20260524","appdata","LOCALTOP-0003","LocalAppDataTopLevel","LocalAppData top-level #03","top-level-inventory","1433803803","1367.38","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"APPDATA-INVENTORY-20260524","appdata","LOCALTOP-0004","LocalAppDataTopLevel","LocalAppData top-level #04","top-level-inventory","729960736","696.14","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"APPDATA-INVENTORY-20260524","appdata","LOCALTOP-0005","LocalAppDataTopLevel","LocalAppData top-level #05","top-level-inventory","671836700","640.71","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"APPDATA-INVENTORY-20260524","appdata","LOCALTOP-0006","LocalAppDataTopLevel","LocalAppData top-level #06","top-level-inventory","614347133","585.89","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"APPDATA-INVENTORY-20260524","appdata","LOCALTOP-0007","LocalAppDataTopLevel","LocalAppData top-level #07","top-level-inventory","562836503","536.76","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"APPDATA-INVENTORY-20260524","appdata","LOCALTOP-0008","LocalAppDataTopLevel","LocalAppData top-level #08","top-level-inventory","559346597","533.43","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"APPDATA-INVENTORY-20260524","appdata","LOCALTOP-0009","LocalAppDataTopLevel","LocalAppData top-level #09","top-level-inventory","555180000","529.46","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"APPDATA-INVENTORY-20260524","appdata","LOCALTOP-0010","LocalAppDataTopLevel","LocalAppData top-level #10","top-level-inventory","432393131","412.36","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"APPDATA-INVENTORY-20260524","appdata","LOCALTOP-0011","LocalAppDataTopLevel","LocalAppData top-level #11","top-level-inventory","296495960","282.76","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"APPDATA-INVENTORY-20260524","appdata","LOCALTOP-0012","LocalAppDataTopLevel","LocalAppData top-level #12","top-level-inventory","285438213","272.22","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"APPDATA-INVENTORY-20260524","appdata","LOCALTOP-0013","LocalAppDataTopLevel","LocalAppData top-level #13","top-level-inventory","226959264","216.45","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"APPDATA-INVENTORY-20260524","appdata","LOCALTOP-0014","LocalAppDataTopLevel","LocalAppData top-level #14","top-level-inventory","187478499","178.79","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"APPDATA-INVENTORY-20260524","appdata","LOCALTOP-0015","LocalAppDataTopLevel","LocalAppData top-level #15","top-level-inventory","177283848","169.07","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"APPDATA-INVENTORY-20260524","appdata","LOCALTOP-0016","LocalAppDataTopLevel","LocalAppData top-level #16","top-level-inventory","130409336","124.37","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"APPDATA-INVENTORY-20260524","appdata","LOCALTOP-0017","LocalAppDataTopLevel","LocalAppData top-level #17","top-level-inventory","125489753","119.68","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"APPDATA-INVENTORY-20260524","appdata","LOCALTOP-0018","LocalAppDataTopLevel","LocalAppData top-level #18","top-level-inventory","101647231","96.94","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"APPDATA-INVENTORY-20260524","appdata","LOCALTOP-0019","LocalAppDataTopLevel","LocalAppData top-level #19","top-level-inventory","95497515","91.07","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
