"SessionId","Module","InventoryId","Scope","ItemName","ItemType","EstimatedSizeBytes","EstimatedSizeMB","RiskLevel","Assessment","PublicNotes"
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0001","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #01","top-level-inventory","2678216135","2554.15","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0002","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #02","top-level-inventory","1341290365","1279.15","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0003","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #03","top-level-inventory","177570537","169.34","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0004","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #04","top-level-inventory","164208826","156.6","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0005","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #05","top-level-inventory","76266130","72.73","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0006","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #06","top-level-inventory","66917657","63.82","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0007","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #07","top-level-inventory","47152630","44.97","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0008","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #08","top-level-inventory","45233626","43.14","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0009","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #09","top-level-inventory","38150904","36.38","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0010","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #10","top-level-inventory","32621767","31.11","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0011","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #11","top-level-inventory","31431864","29.98","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
"DRIVERSTORE-INVENTORY-20260524","driverstore","DRVSTORE-TOP-0012","DriverStoreFileRepositoryTopLevel","DriverStore FileRepository top-level #12","top-level-inventory","28243054","26.93","ReviewRequired","InventoryOnly","Folder name redacted in public output; see private report locally."
